Arction ref;Libelle court;Categorie;Team;Group;Children;Date;comptage;Eco tCO2e;Eco eau;Eco dechets;;
D06;Ne pas jeter les déchets dans la nature;Déchets;ROUGES;Rouges maternelles;dinosaure;28/11/2024;1;0.424875192;0;4.486538462;;
D06;Réparer plutôt que jeter;Déchets;ROUGES;Rouges maternelles;dinosaure;28/11/2024;1;0.017373808;0;0.183461538;;
E03;Utiliser les heures creuses et moins chauffer;Electricité;ROUGES;Rouges maternelles;dinosaure;28/11/2024;1;24.40746291;0;0;;
E08;Fermer les volets l’‘hiver;Electricité;ROUGES;Rouges maternelles;dinosaure;28/11/2024;1;0.000172955;0;0;;
D09;Fermer les fenêtres quand on chauffe;Electricité;ROUGES;Rouges maternelles;dinosaure;28/11/2024;1;0.000172955;0;0;;
D06;Ne pas jeter les déchets dans la nature;Déchets;ROUGES;Rouges maternelles;dinosaure;10/12/2024;1;0.424875192;0;4.486538462;;
D10;Utiliser les bacs de tri (noir, vert, jaune);Déchets;ROUGES;Rouges maternelles;dinosaure;10/12/2024;1;0.866961538;0;0;;
W04;Utiliser une gourde quand on veut boire dehors;Déchets;ROUGES;Rouges maternelles;dinosaure;10/12/2024;1;0.54243;0;0.21;;
W02;Boire de l’‘eau du robinet plutôt que de l’‘eau en bouteilles en plastique;Déchets;ROUGES;Rouges maternelles;dinosaure;10/12/2024;1;0.54243;0;0.21;;
B07;Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;Transport;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.506;0;0;;
E08;Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne;Eau;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.088256;224;0;;
W02;Couper l’‘eau quand on se brosse les dents et utiliser un gobelet;Eau;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.011032;28;0;;
D08;Ne pas arracher les plantes;Biodiversité;ROUGES;Rouges CM2;fraise;15/12/2024;1;0;0;0;;
D06;Manger moins de viande (manger du poisson ou des œufs);Biodiversité;ROUGES;Rouges CM2;fraise;15/12/2024;1;5.962226726;0;0;;
D10;Utiliser les bacs de tri (noir, vert, jaune);Déchets;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.866961538;0;0;;
W02;Boire de l’‘eau du robinet plutôt que de l’‘eau en bouteilles en plastique;Déchets;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.54243;0;0.21;;
W06;Bien ranger ses affaires, ses feuilles pour ne pas casser, perdre et devoir racheter inutilement;Déchets;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.017373808;0;0.183461538;;
D02;Garder les restes de repas pour les manger un autre jour;Déchets;ROUGES;Rouges CM2;fraise;15/12/2024;1;2.453510562;0;1.390384615;;
E03;Utiliser les heures creuses et moins chauffer;Electricité;ROUGES;Rouges CM2;fraise;15/12/2024;1;24.40746291;0;0;;
D09;Fermer les fenêtres quand on chauffe;Electricité;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.000172955;0;0;;
E08;Fermer les volets l’‘hiver;Electricité;ROUGES;Rouges CM2;fraise;15/12/2024;1;0.000172955;0;0;;
C06;Acheter seulement quand on en a besoin,;Déchets;ROUGES;Rouges CM2;coco;15/12/2024;1;0.000238596;0;0.134615385;;
