Action ref;Action;Category;Team;Group;Children;Date;Eco tCO2e;Eco eau;Eco dechets
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;ABEILLES;Abeille jaune;abeille1;14/04/2025;0.15988;0;1
E08;Eteindre le chauffage lorsqu’on aère une pièce;Electricité;ABEILLES;Abeille jaune;abeille1;14/04/2025;0.000173;0;0
E01;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;Electricité;ABEILLES;Abeille jaune;abeille1;14/04/2025;0.027408;0;0
D08;Utiliser les bacs de tri;Déchets;ABEILLES;Abeille jaune;abeille1;14/04/2025;0.866962;0;0
D06;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Déchets;ABEILLES;Abeille jaune;abeille1;14/04/2025;0.017374;0;0.183462
B01;Ne pas cueillir de plante dans la nature;Biodiversité;ABEILLES;Abeille jaune;abeille1;14/04/2025;0;0;0
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Eau;ABEILLES;Abeille jaune;abeille1;14/04/2025;0.05;28;0
B01;Ne pas cueillir de plante dans la nature;Biodiversité;ABEILLES;Abeille jaune;abeille1;19/04/2025;0;0;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;ABEILLES;Abeille jaune;abeille1;19/04/2025;0.004964;12.6;0
W05;Prendre une douche plutôt qu’un bain;Eau;ABEILLES;Abeille jaune;abeille1;19/04/2025;0.140658;357;0
E05;Préférer les ampoules à basse consommation;Electricité;ABEILLES;Abeille jaune;abeille1;19/04/2025;0.072803;0;0
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Electricité;ABEILLES;Abeille jaune;abeille1;19/04/2025;0.027408;0;0
E08;Eteindre le chauffage lorsqu’on aère une pièce;Electricité;ABEILLES;Abeille jaune;abeille1;19/04/2025;0.000173;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;ABEILLES;Abeille jaune;abeille13;10/04/2025;1.260407;0;0.180058
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;ABEILLES;Abeille jaune;abeille13;10/04/2025;0.15988;0;1
