ID_REF action;Titre action;CO2e (kg CO2e / sem);Eau (l /sem);Déchet kg /sem);Catégorie;tCO2e /an;Impact;Impact total;Etoile pondéré;Image
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);0.424875;0;4.486538;Déchet;0.02209351;Moderate;0.788554;4;D03.jpg
D04;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;0.00947;0;0.1;Déchet;0.00049244;Low;0.017576;2;D04.jpg
D05;Ne pas trop acheter de choses quand on n’en a pas vraiment besoin (bien réfléchir à nos vrais besoins alimentaires ou autres).;0.000239;0;0.134615;Déchet;0.000012407;Low;0.013652;2;D05.jpg
D06;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);0.017374;0;0.183462;Déchet;0.000903438;Low;0.032245;2;D06.jpg
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);0.017374;0;0;Déchet;0.000903438;Low;0.013899;2;D07.png
D08;Utiliser les bacs de tri;0.866962;0;0;Déchet;0.045082;Moderate;0.693569;4;D08.jpg
D09;Faire du compost avec les déchets végétaux ou donner les restes alimentaires aux poules…;0.0623;0;1.75;Déchet;0.0032396;Low;0.22484;3;D09.jpg
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;0.54243;0;0.21;Déchet;0.02820636;Moderate;0.454944;3;D10.png
D11;Acheter des produits en vrac. éviter les emballages individuels…;0.379014;0;34.86;Déchet;0.019708746;Moderate;3.789211;4;D11.png
D12;Privilégier les achats d’objets recyclables (carton plutôt que plastique);0.46544;0;0;Déchet;0.0242029;Moderate;0.372352;3;D12.png
D13;Mettre un stop pub sur la boîte aux lettres;0.363351;0;0.378846;Déchet;0.01889427;Moderate;0.328566;3;D13.png
D14;Réduire son budget vêtement;2.513477;0;0.142308;Déchet;0.13070078;Moderate;2.025012;4;D14.png
D15;Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;0.009591;0;0.8;Déchet;0.000498732;Low;0.087673;3;D15.png
D16;Acheter des appareils électronique reconditionné à très forte composante électronique;5.492603;0;1.481175;Déchet;0.285615342;High;4.5422;5;D16.png
D17;Acheter des appareils électronique reconditionné à forte composante électronique;1.915171;0;0.516459;Déchet;0.099588904;Moderate;1.583783;4;D17.png
D18;Acheter des appareils électronique reconditionné à moyenne composante électronique;0.927068;0;0.25;Déchet;0.048207562;Moderate;0.766655;4;D18.png
